StepId,RecordingId,ProcessId,TimeStamp,StepName,StepDescription,ApplicationProcessName,ApplicationParentWindowName,AutomationStep,NextStepId,label_EventName,label_EventId,duration
0,Recording_70,Process_26,2022-01-10T02:44:26+00:00,Press button in window,Microsoft Teams - 1 running window in Quick Launch Bar,,,"[""UIAutomation.PressButton Button: appmask['Quick Launch Bar']['Microsoft Teams - 1 running window']\n""]",2.0,Login to planning tool.,Event_350,3.0
1,Recording_70,Process_26,2022-01-10T02:44:29+00:00,Press button in window,"Button 'Add a tab' in Pane 'General  ...  Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomation.PressButton Button: appmask['Pane \\'General  ...  Teams, Main Window\\'']['Button \\'Add a tab\\'']\n""]",3.0,Login to planning tool.,Event_350,5.0
2,Recording_70,Process_26,2022-01-10T02:44:34+00:00,Click UI element in window,"List Item 'Tasks by Planner and To Do' in Pane 'General  ...  Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomation.Click Element: appmask['Pane \\'General  ...  Teams, Main Window\\'']['List Item \\'Tasks by Planner and To Do\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -1 OffsetY: -36 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.BottomCenter\n""]",4.0,Login to planning tool.,Event_350,7.0
3,Recording_70,Process_26,2022-01-10T02:44:41+00:00,Select radio button in window,"Radio Button 'Create a new plan' in Pane 'General  ...  Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomation.SelectRadioButton RadioButton: appmask['Pane \\'General  ...  Teams, Main Window\\'']['Radio Button \\'Create a new plan\\'']\n""]",5.0,Login to planning tool.,Event_350,2.0
4,Recording_70,Process_26,2022-01-10T02:44:43+00:00,Click UI element in window,"Document 'Microsoft Teams Tasks' in Pane 'General  ...  Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomation.Click Element: appmask['Pane \\'General  ...  Teams, Main Window\\'']['Document \\'Microsoft Teams Tasks\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 56 OffsetY: -39 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",6.0,Login to planning tool.,Event_350,2.0
5,Recording_70,Process_26,2022-01-10T02:44:45+00:00,Drag and drop UI element in window,"Document 'Microsoft Teams Tasks' in Pane 'General  ...  Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomation.DragAndDropElement MouseDownOffsetY: 76 MouseDownOffsetX: 101 RectangleEdgePointForMouseDown: UIAutomation.RectangleEdgePoint.TopLeft ControlToDrag: appmask['Pane \\'General  ...  Teams, Main Window\\'']['Document \\'Microsoft Teams Tasks\\''] MouseUpOffsetY: 76 MouseUpOffsetX: 5 RectangleEdgePointForMouseUp: UIAutomation.RectangleEdgePoint.TopLeft ControlToDropOver: appmask['Pane \\'General  ...  Teams, Main Window\\'']['Document \\'Microsoft Teams Tasks\\''] ClickType: UIAutomation.DragAndDropClickType.LeftClick\n""]",7.0,Login to planning tool.,Event_350,4.0
6,Recording_70,Process_26,2022-01-10T02:44:49+00:00,Populate text field in window,"Edit 'Tab name' in Pane 'General  ...  Teams, Main Window'; Text:'Client Feedback'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomation.PopulateTextField TextField: appmask['Pane \\'General  ...  Teams, Main Window\\'']['Edit \\'Tab name\\''] Text: 'Client Feedback' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",8.0,Login to planning tool.,Event_350,3.0
7,Recording_70,Process_26,2022-01-10T02:44:52+00:00,Press button in window,"Button 'Save' in Pane 'General  ...  Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomation.PressButton Button: appmask['Pane \\'General  ...  Teams, Main Window\\'']['Button \\'Save\\'']\n""]",9.0,Login to planning tool.,Event_350,10.0
8,Recording_70,Process_26,2022-01-10T02:45:02+00:00,Press button in window,"Button 'Add task card in To do column' in Pane 'General  ...  Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomation.PressButton Button: appmask['Pane \\'General  ...  Teams, Main Window\\'']['Button \\'Add task card in To do column\\'']\n""]",10.0,Prepared the task and allocate to teammates.,Event_351,7.0
9,Recording_70,Process_26,2022-01-10T02:45:09+00:00,Populate text field in window,"Edit 'Task name' in Pane 'General  ...  Teams, Main Window'; Text:'Prepare Presentat'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomation.PopulateTextField TextField: appmask['Pane \\'General  ...  Teams, Main Window\\'']['Edit \\'Task name\\''] Text: 'Prepare Presentat' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",11.0,Prepared the task and allocate to teammates.,Event_351,4.0
