StepId,RecordingId,ProcessId,TimeStamp,StepName,StepDescription,ApplicationProcessName,ApplicationParentWindowName,AutomationStep,NextStepId,label_EventName,label_EventId,duration
0,Recording_34,Process_10,2022-02-22T09:16:28+00:00,Press button in window,Firefox - 1 running window in Quick Launch Bar,,,"[""UIAutomation.PressButton Button: appmask['Quick Launch Bar']['Firefox - 1 running window']\n""]",2.0,Go to the planner and prepare a plan,Event_162,5.0
1,Recording_34,Process_10,2022-02-22T09:16:33+00:00,Populate text field in window,Edit 'Search with Google or enter address' in Window 'Mozilla Firefox'; Text:'o365',firefox,Mozilla Firefox,"[""UIAutomation.PopulateTextField TextField: appmask['Window \\'Mozilla Firefox\\'']['Edit \\'Search with Google or enter address\\''] Text: 'o365' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n"", 'WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{Return}'\n""]",3.0,Go to the planner and prepare a plan,Event_162,0.0
2,Recording_34,Process_10,2022-02-22T09:16:33+00:00,Send keys,TextToSend:'{Return}',,,"[""UIAutomation.PopulateTextField TextField: appmask['Window \\'Mozilla Firefox\\'']['Edit \\'Search with Google or enter address\\''] Text: 'o365' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n"", 'WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{Return}'\n""]",4.0,Go to the planner and prepare a plan,Event_162,5.0
3,Recording_34,Process_10,2022-02-22T09:16:38+00:00,Click UI element in window,Hyperlink 'Office  ... office.com' in Window 'o365 - Google Search — Mozilla Firefox',firefox,o365 - Google Search — Mozilla Firefox,"[""UIAutomation.Click Element: appmask['Window \\'o365 - Google Search — Mozilla Firefox\\'']['Hyperlink \\'Office  ... office.com\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -25 OffsetY: -3 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",5.0,Go to the planner and prepare a plan,Event_162,10.0
4,Recording_34,Process_10,2022-02-22T09:16:48+00:00,Select menu option in window,Menu Item 'App launcher' in Window 'Microsoft Office Home — Mozilla Firefox',firefox,Microsoft Office Home — Mozilla Firefox,"[""UIAutomation.SelectMenuOption Control: appmask['Window \\'Microsoft Office Home — Mozilla Firefox\\'']['Menu Item \\'App launcher\\'']\n""]",6.0,Go to the planner and prepare a plan,Event_162,5.0
5,Recording_34,Process_10,2022-02-22T09:16:53+00:00,Click UI element in window,Hyperlink 'Planner' in Window 'Microsoft Office Home — Mozilla Firefox',firefox,Microsoft Office Home — Mozilla Firefox,"[""UIAutomation.Click Element: appmask['Window \\'Microsoft Office Home — Mozilla Firefox\\'']['Hyperlink \\'Planner\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 23 OffsetY: 6 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",7.0,Go to the planner and prepare a plan,Event_162,10.0
6,Recording_34,Process_10,2022-02-22T09:17:03+00:00,Select menu option in window,Menu Item 'New plan' in Window 'Hub - Planner — Mozilla Firefox',firefox,Hub - Planner — Mozilla Firefox,"[""UIAutomation.SelectMenuOption Control: appmask['Window \\'Hub - Planner — Mozilla Firefox\\'']['Menu Item \\'New plan\\'']\n""]",8.0,Go to the planner and prepare a plan,Event_162,13.0
7,Recording_34,Process_10,2022-02-22T09:17:16+00:00,Populate text field in window,Edit 'Plan name' in Window 'Hub - Planner — Mozilla Firefox'; Text:'New Cafeteria suurvey',firefox,Hub - Planner — Mozilla Firefox,"[""UIAutomation.PopulateTextField TextField: appmask['Window \\'Hub - Planner — Mozilla Firefox\\'']['Edit \\'Plan name\\''] Text: 'New Cafeteria suurvey' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",9.0,Go to the planner and prepare a plan,Event_162,6.0
8,Recording_34,Process_10,2022-02-22T09:17:22+00:00,Press button in window,Button 'Choose a group for your plan' in Window 'Hub - Planner — Mozilla Firefox',firefox,Hub - Planner — Mozilla Firefox,"[""UIAutomation.PressButton Button: appmask['Window \\'Hub - Planner — Mozilla Firefox\\'']['Button \\'Choose a group for your plan\\'']\n""]",10.0,Go to the planner and prepare a plan,Event_162,3.0
9,Recording_34,Process_10,2022-02-22T09:17:25+00:00,Click UI element in window,List Item 'Project RoadMap' in Window 'Hub - Planner — Mozilla Firefox',firefox,Hub - Planner — Mozilla Firefox,"[""UIAutomation.Click Element: appmask['Window \\'Hub - Planner — Mozilla Firefox\\'']['List Item \\'Project RoadMap\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -20 OffsetY: 1 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",11.0,Go to the planner and prepare a plan,Event_162,10.0
