StepId,RecordingId,ProcessId,TimeStamp,StepName,StepDescription,ApplicationProcessName,ApplicationParentWindowName,AutomationStep,NextStepId,label_EventName,label_EventId,Connectors,duration
0,Recording_3,Process_2,2022-02-21T06:50:52+00:00,Press button in window,Firefox - 1 running window in Quick Launch Bar,,,"[""UIAutomation.PressButton Button: appmask['Quick Launch Bar']['Firefox - 1 running window']\n""]",02.00,Login to collaborative tool,Event_9,,05.00
1,Recording_3,Process_2,2022-02-21T06:50:57+00:00,Populate text field in window,Edit 'Search with Google or enter address' in Window 'Mozilla Firefox'; Text:'o365',firefox,Mozilla Firefox,"[""UIAutomation.PopulateTextField TextField: appmask['Window \\'Mozilla Firefox\\'']['Edit \\'Search with Google or enter address\\''] Text: 'o365' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",03.00,Login to collaborative tool,Event_9,,01.00
2,Recording_3,Process_2,2022-02-21T06:50:58+00:00,Send keys,TextToSend:'{Return}',,,"['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{Return}'\n""]",04.00,Login to collaborative tool,Event_9,,05.00
3,Recording_3,Process_2,2022-02-21T06:51:03+00:00,Click UI element in window,Hyperlink 'Office  ... office.com' in Window 'o365 - Google Search — Mozilla Firefox',firefox,o365 - Google Search — Mozilla Firefox,"[""UIAutomation.Click Element: appmask['Window \\'o365 - Google Search — Mozilla Firefox\\'']['Hyperlink \\'Office  ... office.com\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -49 OffsetY: 0 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",05.00,Login to collaborative tool,Event_9,,06.00
4,Recording_3,Process_2,2022-02-21T06:51:09+00:00,Select menu option in window,Menu Item 'App launcher' in Window 'Microsoft Office Home — Mozilla Firefox',firefox,Microsoft Office Home — Mozilla Firefox,"[""UIAutomation.SelectMenuOption Control: appmask['Window \\'Microsoft Office Home — Mozilla Firefox\\'']['Menu Item \\'App launcher\\'']\n""]",06.00,Login to collaborative tool,Event_9,,03.00
5,Recording_3,Process_2,2022-02-21T06:51:12+00:00,Click UI element in window,Hyperlink 'SharePoint' in Window 'Microsoft Office Home — Mozilla Firefox',firefox,Microsoft Office Home — Mozilla Firefox,"[""UIAutomation.Click Element: appmask['Window \\'Microsoft Office Home — Mozilla Firefox\\'']['Hyperlink \\'SharePoint\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 43 OffsetY: -3 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",07.00,Login to collaborative tool,Event_9,,03.00
6,Recording_3,Process_2,2022-02-21T06:51:15+00:00,Click UI element in window,Hyperlink 'Project RoadMap' in Window 'SharePoint — Mozilla Firefox',firefox,SharePoint — Mozilla Firefox,"[""UIAutomation.Click Element: appmask['Window \\'SharePoint — Mozilla Firefox\\'']['Hyperlink \\'Project RoadMap\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 1 OffsetY: -6 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",09.00,Login to collaborative tool,Event_9,,12.00
7,Recording_3,Process_2,2022-02-21T06:51:27+00:00,Click UI element in window,Hyperlink 'Documents' in Window 'Project RoadMap - Home — Mozilla Firefox',firefox,Project RoadMap - Home — Mozilla Firefox,"[""UIAutomation.Click Element: appmask['Window \\'Project RoadMap - Home — Mozilla Firefox\\'']['Hyperlink \\'Documents\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -31 OffsetY: 1 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",10.00, Create a word document to collect feedback points,Event_10,,06.00
8,Recording_3,Process_2,2022-02-21T06:51:33+00:00,Select menu option in window,Menu Item 'New' in Window 'Project  ...  — Mozilla Firefox',firefox,Project RoadMap - Documents - All Documents — Mozilla Firefox,"[""UIAutomation.SelectMenuOption Control: appmask['Window \\'Project  ...  — Mozilla Firefox\\'']['Menu Item \\'New\\'']\n""]",11.00, Create a word document to collect feedback points,Event_10,,08.00
9,Recording_3,Process_2,2022-02-21T06:51:41+00:00,Select menu option in window,MenuItem: New in Window 'Project  ...  — Mozilla Firefox',firefox,Project RoadMap - Documents - All Documents — Mozilla Firefox,"[""UIAutomation.SelectMenuOption Control: appmask['Window \\'Project  ...  — Mozilla Firefox\\'']['MenuItem: New']\n""]",12.00, Create a word document to collect feedback points,Event_10,,07.00
10,Recording_3,Process_2,2022-02-21T06:51:48+00:00,Click UI element in window,UI Custom in Window 'Document8.docx — Mozilla Firefox',firefox,Document8.docx — Mozilla Firefox,"[""UIAutomation.Click Element: appmask['Window \\'Document8.docx — Mozilla Firefox\\'']['UI Custom'] ClickType: UIAutomation.ClickType.LeftClick\n""]",13.00, Create a word document to collect feedback points,Event_10,,01.00
11,Recording_3,Process_2,2022-02-21T06:51:49+00:00,Send keys,TextToSend:'{LShiftKey}(FD){Back}eedback poo{Back}ints{Return}1. {LShiftKey}(W)eb browsers working very slow{Return}2.{Back}{Back}guideline is missing',,,"['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{LShiftKey}(FD){Back}eedback{Space}poo{Back}ints{Return}1.{Space}{LShiftKey}(W)eb{Space}browsers{Space}working{Space}very{Space}slow{Return}2.{Back}{Back}guideline{Space}is{Space}missing'\n""]",14.00, Create a word document to collect feedback points,Event_10,,45.00.00
12,Recording_3,Process_2,2022-02-21T06:52:34+00:00,Select tab in window,Tab Item 'Document8.docx' in Window 'Document8.docx — Mozilla Firefox',firefox,Document8.docx — Mozilla Firefox,"[""UIAutomation.SelectTab Tab: appmask['Window \\'Document8.docx — Mozilla Firefox\\'']['Tab Item \\'Document8.docx\\'']\n""]",15.00, Create a word document to collect feedback points,Event_10,,05.00
13,Recording_3,Process_2,2022-02-21T06:52:39+00:00,Press button in window,Outlook 2013 - 1 running window in Quick Launch Bar,,,"[""UIAutomation.PressButton Button: appmask['Quick Launch Bar']['Outlook 2013 - 1 running window']\n""]",16.00,Go to the calender,Event_11,,02.00
14,Recording_3,Process_2,2022-02-21T06:52:41+00:00,Press button in window,Button 'Calendar' in Window 'Inbox - Email@Domain - Outlook',OUTLOOK,Inbox - Email@Domain - Outlook,"[""UIAutomation.PressButton Button: appmask['Window \\'Inbox - Email@Domain - Outlook\\'']['Button \\'Calendar\\'']\n""]",17.00,Go to the calender,Event_11,OUTLOOK,07.00
15,Recording_3,Process_2,2022-02-21T06:52:48+00:00,Click UI element in window,"List 'Month View, 31  ...  March 2022 12:00am' in Window 'Calendar - Email@Domain - Outlook'",OUTLOOK,Calendar - Email@Domain - Outlook,"[""UIAutomation.Click Element: appmask['Window \\'Calendar - Email@Domain - Outlook\\'']['List \\'Month View, 31  ...  March 2022 12:00am\\''] ClickType: UIAutomation.ClickType.RightClick OffsetX: -245 OffsetY: 95 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleRight\n""]",18.00,Schedule a meeting with CEO on suitable date.,Event_12,OUTLOOK,12.00
