"RecordingId","ProcessId","TimeStamp","StepName","StepDescription","ApplicationProcessName","ApplicationParentWindowName","AutomationStep","NextStepId","label_EventName","label_EventId","Process_Name","Connectors"
"Recording_23","Process_4","2022-02-21T08:53:14+00:00","Press button in window","Button 'Type here to search' in TaskBar","","","[""UIAutomation.PressButton Button: appmask['TaskBar']['Button \\'Type here to search\\'']\n""]","2","Open note taking app having employees' new role information","Event_105","Office365users/sendmail/onenote","onenote"
"Recording_23","Process_4","2022-02-21T08:53:20+00:00","Populate text field in window","Edit 'Search box' in Window 'Search'; Text:'onenote'","SearchApp","Search","[""UIAutomation.PopulateTextField TextField: appmask['Window \\'Search\\'']['Edit \\'Search box\\''] Text: 'onenote' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]","3","Open note taking app having employees' new role information","Event_105","Office365users/sendmail/onenote","onenote"
"Recording_23","Process_4","2022-02-21T08:53:27+00:00","Click UI element in window","List Item 'OneNote  ...  to switch preview' in Window 'Search'","SearchApp","Search","[""UIAutomation.Click Element: appmask['Window \\'Search\\'']['List Item \\'OneNote  ...  to switch preview\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 65 OffsetY: -10 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]","4","Open note taking app having employees' new role information","Event_105","Office365users/sendmail/onenote","onenote"
"Recording_23","Process_4","2022-02-21T08:53:31+00:00","Press button in window","Button 'Click to view other notebooks   Update role in admin centre Documents ‎» OneNote Notebooks' in Window 'Update role in admin centre - OneNote'","ONENOTE","Update role in admin centre - OneNote","[""UIAutomation.PressButton Button: appmask['Window \\'Update role in admin centre - OneNote\\'']['Button \\'Click to view other notebooks   Update role in admin centre Documents \u200e» OneNote Notebooks\\'']\n""]","5","Open note taking app having employees' new role information","Event_105","Office365users/sendmail/onenote","onenote"
"Recording_23","Process_4","2022-02-21T08:53:35+00:00","Press button in window","Button 'Notebook Update role in admin centre Documents ‎» OneNote Notebooks' in Window 'Update role in admin centre - OneNote'","ONENOTE","Update role in admin centre - OneNote","[""UIAutomation.PressButton Button: appmask['Window \\'Update role in admin centre - OneNote\\'']['Button \\'Notebook Update role in admin centre Documents \u200e» OneNote Notebooks\\'']\n""]","6","Open note taking app having employees' new role information","Event_105","Office365users/sendmail/onenote","onenote"
"Recording_23","Process_4","2022-02-21T08:53:39+00:00","Click UI element in window","Document 'OneNote current page' in Window 'Update role in admin centre - OneNote'","ONENOTE","Update role in admin centre - OneNote","[""UIAutomation.Click Element: appmask['Window \\'Update role in admin centre - OneNote\\'']['Document \\'OneNote current page\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 299 OffsetY: 194 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopLeft\n""]","7","Open note taking app having employees' new role information","Event_105","Office365users/sendmail/onenote","onenote"
"Recording_23","Process_4","2022-02-21T08:53:47+00:00","Select menu option in window","Firefox - 2 running windows in Quick Launch Bar","","","[""UIAutomation.SelectMenuOption Control: appmask['Quick Launch Bar']['Firefox - 2 running windows']\n""]","8","Go to the company's employee directory","Event_106","Office365users/sendmail/onenote","Office365users"
"Recording_23","Process_4","2022-02-21T08:53:51+00:00","Click UI element in window","List Item 'Mozilla Firefox (Private Browsing)' in List 'Task Switcher'","","Task Switcher","[""UIAutomation.Click Element: appmask['List \\'Task Switcher\\'']['List Item \\'Mozilla Firefox (Private Browsing)\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 34 OffsetY: 13 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]","9","Go to the company's employee directory","Event_106","Office365users/sendmail/onenote","Office365users"
"Recording_23","Process_4","2022-02-21T08:53:59+00:00","Populate text field in window","Edit 'Search with Google or enter address' in Window 'Mozilla Firefox (Private Browsing)'; Text:'o365'","firefox","Mozilla Firefox (Private Browsing)","[""UIAutomation.PopulateTextField TextField: appmask['Window \\'Mozilla Firefox (Private Browsing)\\'']['Edit \\'Search with Google or enter address\\''] Text: 'o365' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]","10","Go to the company's employee directory","Event_106","Office365users/sendmail/onenote","Office365users"
"Recording_23","Process_4","2022-02-21T08:54:00+00:00","Send keys","TextToSend:'{Return}'","","","['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{Return}'\n""]","11","Go to the company's employee directory","Event_106","Office365users/sendmail/onenote","Office365users"
"Recording_23","Process_4","2022-02-21T08:54:03+00:00","Click UI element in window","Hyperlink 'Office  ... office.com' in Window 'o365 -  ...  (Private Browsing)'","firefox","o365 - Google Search — Mozilla Firefox (Private Browsing)","[""UIAutomation.Click Element: appmask['Window \\'o365 -  ...  (Private Browsing)\\'']['Hyperlink \\'Office  ... office.com\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -19 OffsetY: 0 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]","12","Go to the company's employee directory","Event_106","Office365users/sendmail/onenote","Office365users"
