StepId,RecordingId,ProcessId,TimeStamp,StepName,StepDescription,ApplicationProcessName,ApplicationParentWindowName,AutomationStep,NextStepId,label_EventName,label_EventId,Connectors,duration
0,Recording_134,Process_1,2022-02-18T09:26:52+00:00,Select menu option in window,Microsoft Edge (2) - 2 running windows in Quick Launch Bar,,,"[""UIAutomation.SelectMenuOption Control: appmask['Quick Launch Bar']['Microsoft Edge (2) - 2 running windows']\n""]",02.00,Login to collaborative tool,Event_614,,04.00
1,Recording_134,Process_1,2022-02-18T09:26:56+00:00,Click UI element in window,List Item 'New tab  ...  - Microsoft​ Edge' in List 'Task Switcher',,Task Switcher,"[""UIAutomation.Click Element: appmask['List \\'Task Switcher\\'']['List Item \\'New tab  ...  - Microsoft\u200b Edge\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 64 OffsetY: 13 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",03.00,Login to collaborative tool,Event_614,,08.00
2,Recording_134,Process_1,2022-02-18T09:27:04+00:00,Populate text field in window,Edit 'Address and search bar' in Window 'New tab and  ...  - Microsoft​ Edge'; Text:'office 365',msedge,New tab and 1 more page - [InPrivate] - Microsoft​ Edge,"[""UIAutomation.PopulateTextField TextField: appmask['Window \\'New tab and  ...  - Microsoft\u200b Edge\\'']['Edit \\'Address and search bar\\''] Text: 'office 365' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",04.00,Login to collaborative tool,Event_614,,01.00
3,Recording_134,Process_1,2022-02-18T09:27:05+00:00,Send keys,TextToSend:'{Return}',,,"['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{Return}'\n""]",05.00,Login to collaborative tool,Event_614,,04.00
4,Recording_134,Process_1,2022-02-18T09:27:09+00:00,Click UI element in window,Hyperlink 'Office 365 login' in Window 'office 365 -  ...  - Microsoft​ Edge',msedge,office 365 - Search and 1 more page - [InPrivate] - Microsoft​ Edge,"[""UIAutomation.Click Element: appmask['Window \\'office 365 -  ...  - Microsoft\u200b Edge\\'']['Hyperlink \\'Office 365 login\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -27 OffsetY: 3 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleRight\n""]",06.00,Login to collaborative tool,Event_614,,05.00
5,Recording_134,Process_1,2022-02-18T09:27:14+00:00,Click UI element in window,Hyperlink 'SharePoint' in Window 'Microsoft  ...  - Microsoft​ Edge',msedge,Microsoft Office Home and 2 more pages - [InPrivate] - Microsoft​ Edge,"[""UIAutomation.Click Element: appmask['Window \\'Microsoft  ...  - Microsoft\u200b Edge\\'']['Hyperlink \\'SharePoint\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 7 OffsetY: -3 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",07.00,Login to collaborative tool,Event_614,,07.00
6,Recording_134,Process_1,2022-02-18T09:27:21+00:00,Click UI element in window,Hyperlink 'Project RoadMap' in Window 'SharePoint  ...  - Microsoft​ Edge',msedge,SharePoint and 3 more pages - [InPrivate] - Microsoft​ Edge,"[""UIAutomation.Click Element: appmask['Window \\'SharePoint  ...  - Microsoft\u200b Edge\\'']['Hyperlink \\'Project RoadMap\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 30 OffsetY: -3 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",08.00,Prepare a form for employees feedback,Event_615,,07.00
7,Recording_134,Process_1,2022-02-18T09:27:28+00:00,Click UI element in window,Hyperlink 'Shared  ...  about an hour ago' in Window 'Project  ...  - Microsoft​ Edge',msedge,Project RoadMap - Home and 3 more pages - [InPrivate] - Microsoft​ Edge,"[""UIAutomation.Click Element: appmask['Window \\'Project  ...  - Microsoft\u200b Edge\\'']['Hyperlink \\'Shared  ...  about an hour ago\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -85 OffsetY: -20 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleRight\n""]",09.00,Prepare a form for employees feedback,Event_615,,06.00
8,Recording_134,Process_1,2022-02-18T09:27:34+00:00,Click UI element in window,Group 'Document Contents' in Window 'Feedback  ...  - Microsoft​ Edge',msedge,Feedback form instruction.docx and 3 more pages - [InPrivate] - Microsoft​ Edge,"[""UIAutomation.Click Element: appmask['Window \\'Feedback  ...  - Microsoft\u200b Edge\\'']['Group \\'Document Contents\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 4 OffsetY: -66 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",10.00,Prepare a form for employees feedback,Event_615,,05.00
9,Recording_134,Process_1,2022-02-18T09:27:39+00:00,Press button in window,Button 'New Tab' in Window 'Feedback  ...  - Microsoft​ Edge',msedge,Feedback form instruction.docx and 3 more pages - [InPrivate] - Microsoft​ Edge,"[""UIAutomation.PressButton Button: appmask['Window \\'Feedback  ...  - Microsoft\u200b Edge\\'']['Button \\'New Tab\\'']\n""]",11.00,Prepare a form for employees feedback,Event_615,,08.00
10,Recording_134,Process_1,2022-02-18T09:27:47+00:00,Populate text field in window,Edit 'Address and search bar' in Window 'New tab and  ...  - Microsoft​ Edge' 2; Text:'microsoft form',msedge,New tab and 4 more pages - [InPrivate] - Microsoft​ Edge,"[""UIAutomation.PopulateTextField TextField: appmask['Window \\'New tab and  ...  - Microsoft\u200b Edge\\' 2']['Edit \\'Address and search bar\\''] Text: 'microsoft form' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n"", 'WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{Return}'\n""]",12.00,Prepare a form for employees feedback,Event_615,,00.00
11,Recording_134,Process_1,2022-02-18T09:27:47+00:00,Send keys,TextToSend:'{Return}',,,"[""UIAutomation.PopulateTextField TextField: appmask['Window \\'New tab and  ...  - Microsoft\u200b Edge\\' 2']['Edit \\'Address and search bar\\''] Text: 'microsoft form' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n"", 'WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{Return}'\n""]",13.00,Prepare a form for employees feedback,Event_615,,03.00
12,Recording_134,Process_1,2022-02-18T09:27:50+00:00,Click UI element in window,Hyperlink 'Microsoft Forms' in Window 'microsoft  ...  - Microsoft​ Edge' 2,msedge,microsoft form - Search and 4 more pages - [InPrivate] - Microsoft​ Edge,"[""UIAutomation.Click Element: appmask['Window \\'microsoft  ...  - Microsoft\u200b Edge\\' 2']['Hyperlink \\'Microsoft Forms\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 0 OffsetY: 1 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",14.00,Prepare a form for employees feedback,Event_615,,05.00
13,Recording_134,Process_1,2022-02-18T09:27:55+00:00,Press button in window,Button 'New Form' in Window 'Microsoft  ...  - Microsoft​ Edge' 3,msedge,Microsoft Forms and 5 more pages - [InPrivate] - Microsoft​ Edge,"[""UIAutomation.PressButton Button: appmask['Window \\'Microsoft  ...  - Microsoft\u200b Edge\\' 3']['Button \\'New Form\\'']\n""]",15.00,Prepare a form for employees feedback,Event_615,,06.00
14,Recording_134,Process_1,2022-02-18T09:28:01+00:00,Drag and drop UI element in window,Group 'Untitled form Form Title Designer' in Window 'Untitled  ...  - Microsoft​ Edge',msedge,Untitled form (Edit) Microsoft Forms and 6 more pages - [InPrivate] - Microsoft​ Edge,"[""UIAutomation.DragAndDropElement MouseDownOffsetY: 2 MouseDownOffsetX: 231 RectangleEdgePointForMouseDown: UIAutomation.RectangleEdgePoint.MiddleLeft ControlToDrag: appmask['Window \\'Untitled  ...  - Microsoft\u200b Edge\\'']['Group \\'Untitled form Form Title Designer\\''] MouseUpOffsetY: 110 MouseUpOffsetX: 21 RectangleEdgePointForMouseUp: UIAutomation.RectangleEdgePoint.MiddleLeft ControlToDropOver: appmask['Window \\'Microsoft  ...  - Microsoft\u200b Edge\\' 4']['Group \\'Untitled form\\''] ClickType: UIAutomation.DragAndDropClickType.LeftClick\n""]",16.00,Prepare a form for employees feedback,Event_615,,03.00
15,Recording_134,Process_1,2022-02-18T09:28:04+00:00,Send keys,TextToSend:'{LShiftKey}(F)eedback su{Back}',,,"['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{LShiftKey}(F)eedback{Space}su{Back}'\n""]",17.00,Prepare a form for employees feedback,Event_615,,12.00
16,Recording_134,Process_1,2022-02-18T09:28:16+00:00,Press button in window,Button 'Add new question or section' in Window 'Untitled  ...  - Microsoft​ Edge',msedge,Untitled form (Edit) Microsoft Forms and 6 more pages - [InPrivate] - Microsoft​ Edge,"[""UIAutomation.PressButton Button: appmask['Window \\'Untitled  ...  - Microsoft\u200b Edge\\'']['Button \\'Add new question or section\\'']\n""]",18.00,Prepare a form for employees feedback,Event_615,,02.00
17,Recording_134,Process_1,2022-02-18T09:28:18+00:00,Press button in window,Button 'Choice' in Window 'Untitled  ...  - Microsoft​ Edge',msedge,Untitled form (Edit) Microsoft Forms and 6 more pages - [InPrivate] - Microsoft​ Edge,"[""UIAutomation.PressButton Button: appmask['Window \\'Untitled  ...  - Microsoft\u200b Edge\\'']['Button \\'Choice\\'']\n""]",19.00,Prepare a form for employees feedback,Event_615,,20.00
18,Recording_134,Process_1,2022-02-18T09:28:38+00:00,Populate text field in window,Edit 'Question title' in Window 'Untitled  ...  - Microsoft​ Edge'; Text:'Are you agree with new policy',msedge,Untitled form (Edit) Microsoft Forms and 6 more pages - [InPrivate] - Microsoft​ Edge,"[""UIAutomation.PopulateTextField TextField: appmask['Window \\'Untitled  ...  - Microsoft\u200b Edge\\'']['Edit \\'Question title\\''] Text: 'Are you agree with new policy' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",20.00,Prepare a form for employees feedback,Event_615,,02.00
19,Recording_134,Process_1,2022-02-18T09:28:40+00:00,Press button in window,Button 'Add all' in Window 'Untitled  ...  - Microsoft​ Edge',msedge,Untitled form (Edit) Microsoft Forms and 6 more pages - [InPrivate] - Microsoft​ Edge,"[""UIAutomation.PressButton Button: appmask['Window \\'Untitled  ...  - Microsoft\u200b Edge\\'']['Button \\'Add all\\'']\n""]",21.00,Prepare a form for employees feedback,Event_615,,04.00
20,Recording_134,Process_1,2022-02-18T09:28:44+00:00,Click UI element in window,Group 'Edit Question 1' in Window 'Untitled  ...  - Microsoft​ Edge',msedge,Untitled form (Edit) Microsoft Forms and 6 more pages - [InPrivate] - Microsoft​ Edge,"[""UIAutomation.Click Element: appmask['Window \\'Untitled  ...  - Microsoft\u200b Edge\\'']['Group \\'Edit Question 1\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -106 OffsetY: 53 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleRight\n""]",22.00,Prepare a form for employees feedback,Event_615,,07.00
21,Recording_134,Process_1,2022-02-18T09:28:51+00:00,Press button in window,Button 'Share' in Window 'Untitled  ...  - Microsoft​ Edge',msedge,Untitled form (Edit) Microsoft Forms and 6 more pages - [InPrivate] - Microsoft​ Edge,"[""UIAutomation.PressButton Button: appmask['Window \\'Untitled  ...  - Microsoft\u200b Edge\\'']['Button \\'Share\\'']\n""]",23.00,Share the form,Event_616,,16.00
22,Recording_134,Process_1,2022-02-18T09:29:07+00:00,Press button in window,Button 'Copy' in Window 'Untitled  ...  - Microsoft​ Edge',msedge,Untitled form (Edit) Microsoft Forms and 6 more pages - [InPrivate] - Microsoft​ Edge,"[""UIAutomation.PressButton Button: appmask['Window \\'Untitled  ...  - Microsoft\u200b Edge\\'']['Button \\'Copy\\'']\n""]",24.00.00,Share the form,Event_616,,09.00
23,Recording_134,Process_1,2022-02-18T09:29:16+00:00,Press button in window,Microsoft Teams - 1 running window in Quick Launch Bar,,,"[""UIAutomation.PressButton Button: appmask['Quick Launch Bar']['Microsoft Teams - 1 running window']\n""]",25.00.00,Share the form,Event_616,,02.00
24,Recording_134,Process_1,2022-02-18T09:29:18+00:00,Click UI element in window,"Hyperlink 'Profile  ...  More options' in Pane 'General (1DCG  ...  Teams, Main Window'",Teams,"General (1DCG Leads Only) | Microsoft Teams, Main Window","[""UIAutomation.Click Element: appmask['Pane \\'General (1DCG  ...  Teams, Main Window\\'']['Hyperlink \\'Profile  ...  More options\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 4 OffsetY: -3 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",26.00.00,Share the form,Event_616,teams,02.00
25,Recording_134,Process_1,2022-02-18T09:29:20+00:00,Click UI element in window,"Hyperlink 'General More options' in Pane 'General (1DCG  ...  Teams, Main Window'",Teams,"General (1DCG Leads Only) | Microsoft Teams, Main Window","[""UIAutomation.Click Element: appmask['Pane \\'General (1DCG  ...  Teams, Main Window\\'']['Hyperlink \\'General More options\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -26 OffsetY: 8 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopCenter\n""]",27.00.00,Share the form,Event_616,teams,04.00
26,Recording_134,Process_1,2022-02-18T09:29:24+00:00,Press button in window,"Button 'New conversation' in Pane 'General (1DCG  ...  Teams, Main Window'",Teams,"General (1DCG Leads Only) | Microsoft Teams, Main Window","[""UIAutomation.PressButton Button: appmask['Pane \\'General (1DCG  ...  Teams, Main Window\\'']['Button \\'New conversation\\'']\n""]",28.00.00,Share the form,Event_616,teams,05.00
