StepId,RecordingId,ProcessId,TimeStamp,StepName,StepDescription,ApplicationProcessName,ApplicationParentWindowName,AutomationStep,NextStepId,label_EventName,label_EventId,Process_Name,Connectors
0,Recording_74,Process_25,2022-01-10T09:23:20+00:00,Select menu option in window,Firefox - 2 running windows in Quick Launch Bar,,,"[""UIAutomation.SelectMenuOption Control: appmask['Quick Launch Bar']['Firefox - 2 running windows']\n""]",2.0,Open mail box.,Event_368,outlook/projectonline (project roadmap),Outlook
1,Recording_74,Process_25,2022-01-10T09:23:23+00:00,Click UI element in window,List Item 'Mozilla Firefox (Private Browsing)' in List 'Task Switcher',,Task Switcher,"[""UIAutomation.Click Element: appmask['List \\'Task Switcher\\'']['List Item \\'Mozilla Firefox (Private Browsing)\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 36 OffsetY: -48 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.BottomLeft\n""]",3.0,Open mail box.,Event_368,outlook/projectonline (project roadmap),Outlook
2,Recording_74,Process_25,2022-01-10T09:23:25+00:00,Press button in window,Button 'Open a new tab (Ctrl+T)' in Window 'Mozilla Firefox (Private Browsing)',firefox,Mozilla Firefox (Private Browsing),"[""UIAutomation.PressButton Button: appmask['Window \\'Mozilla Firefox (Private Browsing)\\'']['Button \\'Open a new tab (Ctrl+T)\\'']\n""]",4.0,Open mail box.,Event_368,outlook/projectonline (project roadmap),Outlook
3,Recording_74,Process_25,2022-01-10T09:23:34+00:00,Populate text field in window,Edit 'Search with Google or enter address' in Window 'Mozilla Firefox (Private Browsing)'; Text:'yahho mail',firefox,Mozilla Firefox (Private Browsing),"[""UIAutomation.PopulateTextField TextField: appmask['Window \\'Mozilla Firefox (Private Browsing)\\'']['Edit \\'Search with Google or enter address\\''] Text: 'yahho mail' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",5.0,Open mail box.,Event_368,outlook/projectonline (project roadmap),Outlook
4,Recording_74,Process_25,2022-01-10T09:23:35+00:00,Send keys,TextToSend:'{Return}',,,"['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{Return}'\n""]",6.0,Open mail box.,Event_368,outlook/projectonline (project roadmap),Outlook
5,Recording_74,Process_25,2022-01-10T09:23:39+00:00,Click UI element in window,Hyperlink 'Yahoo Mailhttps://in.mail.yahoo.com' in Window 'yahho mail -  ...  (Private Browsing)',firefox,yahho mail - Google Search — Mozilla Firefox (Private Browsing),"[""UIAutomation.Click Element: appmask['Window \\'yahho mail -  ...  (Private Browsing)\\'']['Hyperlink \\'Yahoo Mailhttps://in.mail.yahoo.com\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -13 OffsetY: 6 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",7.0,Open mail box.,Event_368,outlook/projectonline (project roadmap),Outlook
6,Recording_74,Process_25,2022-01-10T09:23:45+00:00,Click UI element in window,Data Item 'FW: Bottom Performer List' in Window '(1 unread) -  ...  (Private Browsing)',firefox,(1 unread) - Email@Domain - Yahoo Mail — Mozilla Firefox (Private Browsing),"[""UIAutomation.Click Element: appmask['Window \\'(1 unread) -  ...  (Private Browsing)\\'']['Data Item \\'FW: Bottom Performer List\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 45 OffsetY: 0 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.BottomLeft\n""]",8.0,Locate the email having list of bottom performers.,Event_369,outlook/projectonline (project roadmap),Outlook
7,Recording_74,Process_25,2022-01-10T09:23:52+00:00,Press button in window,Button 'Open a new tab (Ctrl+T)' in Window 'Name ...  (Private Browsing)',firefox,Email@Domain - Yahoo Mail — Mozilla Firefox (Private Browsing),"[""UIAutomation.PressButton Button: appmask['Window \\'Name ...  (Private Browsing)\\'']['Button \\'Open a new tab (Ctrl+T)\\'']\n""]",9.0,Open the roadmap to create tasks.,Event_370,outlook/projectonline (project roadmap),Projectonline
8,Recording_74,Process_25,2022-01-10T09:23:58+00:00,Populate text field in window,Edit 'Search with Google or enter address' in Window 'Mozilla Firefox (Private Browsing)'; Text:'teams web',firefox,Mozilla Firefox (Private Browsing),"[""UIAutomation.PopulateTextField TextField: appmask['Window \\'Mozilla Firefox (Private Browsing)\\'']['Edit \\'Search with Google or enter address\\''] Text: 'teams web' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",10.0,Open the roadmap to create tasks.,Event_370,outlook/projectonline (project roadmap),Projectonline
9,Recording_74,Process_25,2022-01-10T09:23:59+00:00,Send keys,TextToSend:'{Return}',,,"['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{Return}'\n""]",11.0,Open the roadmap to create tasks.,Event_370,outlook/projectonline (project roadmap),Projectonline
