StepId,RecordingId,ProcessId,TimeStamp,StepName,StepDescription,ApplicationProcessName,ApplicationParentWindowName,AutomationStep,NextStepId,label_EventName,label_EventId,Process_Name,Connectors,duration
0,Recording_68,Process_24,2022-01-08T08:00:53+00:00,Select menu option in window,Google Chrome - 2 running windows in Quick Launch Bar,,,"[""UIAutomation.SelectMenuOption Control: appmask['Quick Launch Bar']['Google Chrome - 2 running windows']\n""]",2.0,Go to the flow app for approval request.,Event_343,Notifications/approvals,Approvals,5.0
1,Recording_68,Process_24,2022-01-08T08:00:58+00:00,Click UI element in window,List Item 'Microsoft  ...  - Google Chrome' in List 'Task Switcher',,Task Switcher,"[""UIAutomation.Click Element: appmask['List \\'Task Switcher\\'']['List Item \\'Microsoft  ...  - Google Chrome\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -1 OffsetY: 29 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopCenter\n""]",3.0,Go to the flow app for approval request.,Event_343,Notifications/approvals,Approvals,5.0
2,Recording_68,Process_24,2022-01-08T08:01:03+00:00,Select menu option in window,Menu Item 'My flows' in Pane 'Microsoft  ...  Chrome - Person 1',chrome,Microsoft Power Automate | Microsoft Power Platform - Google Chrome - Person 1,"[""UIAutomation.SelectMenuOption Control: appmask['Pane \\'Microsoft  ...  Chrome - Person 1\\'']['Menu Item \\'My flows\\'']\n""]",4.0,Go to the flow app for approval request.,Event_343,Notifications/approvals,Approvals,4.0
3,Recording_68,Process_24,2022-01-08T08:01:07+00:00,Select menu option in window,Menu Item 'Add new' in Pane 'Microsoft  ...  Chrome - Person 1',chrome,Microsoft Power Automate | Microsoft Power Platform - Google Chrome - Person 1,"[""UIAutomation.SelectMenuOption Control: appmask['Pane \\'Microsoft  ...  Chrome - Person 1\\'']['Menu Item \\'Add new\\'']\n""]",5.0,Go to the flow app for approval request.,Event_343,Notifications/approvals,Approvals,6.0
4,Recording_68,Process_24,2022-01-08T08:01:13+00:00,Select menu option in window,Menu Item 'Instant cloud flow—from blank' in Pane 'Microsoft  ...  Chrome - Person 1',chrome,Microsoft Power Automate | Microsoft Power Platform - Google Chrome - Person 1,"[""UIAutomation.SelectMenuOption Control: appmask['Pane \\'Microsoft  ...  Chrome - Person 1\\'']['Menu Item \\'Instant cloud flow—from blank\\'']\n""]",6.0,Go to the flow app for approval request.,Event_343,Notifications/approvals,Approvals,8.0
5,Recording_68,Process_24,2022-01-08T08:01:21+00:00,Populate text field in window,Edit 'Flow name' in Pane 'Microsoft  ...  Chrome - Person 1'; Text:'ISMS Document',chrome,Microsoft Power Automate | Microsoft Power Platform - Google Chrome - Person 1,"[""UIAutomation.PopulateTextField TextField: appmask['Pane \\'Microsoft  ...  Chrome - Person 1\\'']['Edit \\'Flow name\\''] Text: 'ISMS Document' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",7.0,Go to the flow app for approval request.,Event_343,Notifications/approvals,Approvals,13.0
6,Recording_68,Process_24,2022-01-08T08:01:34+00:00,Click UI element in window,Data Item 'Manually  ...  trigger a flow. ' in Pane 'Microsoft  ...  Chrome - Person 1',chrome,Microsoft Power Automate | Microsoft Power Platform - Google Chrome - Person 1,"[""UIAutomation.Click Element: appmask['Pane \\'Microsoft  ...  Chrome - Person 1\\'']['Data Item \\'Manually  ...  trigger a flow. \\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 36 OffsetY: -1 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",8.0,Go to the flow app for approval request.,Event_343,Notifications/approvals,Approvals,4.0
7,Recording_68,Process_24,2022-01-08T08:01:38+00:00,Click UI element in window,Hyperlink 'Create' in Pane 'Microsoft  ...  Chrome - Person 1',chrome,Microsoft Power Automate | Microsoft Power Platform - Google Chrome - Person 1,"[""UIAutomation.Click Element: appmask['Pane \\'Microsoft  ...  Chrome - Person 1\\'']['Hyperlink \\'Create\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -12 OffsetY: 5 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopRight\n""]",9.0,Go to the flow app for approval request.,Event_343,Notifications/approvals,Approvals,3.0
8,Recording_68,Process_24,2022-01-08T08:01:41+00:00,Press button in window,Button '+ New step' in Pane 'Microsoft  ...  Chrome - Person 1',chrome,Microsoft Power Automate | Microsoft Power Platform - Google Chrome - Person 1,"[""UIAutomation.PressButton Button: appmask['Pane \\'Microsoft  ...  Chrome - Person 1\\'']['Button \\'+ New step\\'']\n""]",10.0," To access the ISMS document, generate Approval request.",Event_344,Notifications/approvals,Approvals,6.0
9,Recording_68,Process_24,2022-01-08T08:01:47+00:00,Populate text field in window,Edit 'Search connectors and actions' in Pane 'Microsoft  ...  Chrome - Person 1'; Text:'approval',chrome,Microsoft Power Automate | Microsoft Power Platform - Google Chrome - Person 1,"[""UIAutomation.PopulateTextField TextField: appmask['Pane \\'Microsoft  ...  Chrome - Person 1\\'']['Edit \\'Search connectors and actions\\''] Text: 'approval' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",11.0," To access the ISMS document, generate Approval request.",Event_344,Notifications/approvals,Approvals,2.0
10,Recording_68,Process_24,2022-01-08T08:01:49+00:00,Press button in window,Button 'Approvals' in Pane 'Microsoft  ...  Chrome - Person 1',chrome,Microsoft Power Automate | Microsoft Power Platform - Google Chrome - Person 1,"[""UIAutomation.PressButton Button: appmask['Pane \\'Microsoft  ...  Chrome - Person 1\\'']['Button \\'Approvals\\'']\n""]",12.0," To access the ISMS document, generate Approval request.",Event_344,Notifications/approvals,Approvals,6.0
11,Recording_68,Process_24,2022-01-08T08:01:55+00:00,Press button in window,Button 'Create an approval Approvals' in Pane 'Microsoft  ...  Chrome - Person 1',chrome,Microsoft Power Automate | Microsoft Power Platform - Google Chrome - Person 1,"[""UIAutomation.PressButton Button: appmask['Pane \\'Microsoft  ...  Chrome - Person 1\\'']['Button \\'Create an approval Approvals\\'']\n""]",13.0," To access the ISMS document, generate Approval request.",Event_344,Notifications/approvals,Approvals,5.0
12,Recording_68,Process_24,2022-01-08T08:02:00+00:00,Click UI element in window,Edit 'Approval type' in Pane 'Microsoft  ...  Chrome - Person 1',chrome,Microsoft Power Automate | Microsoft Power Platform - Google Chrome - Person 1,"[""UIAutomation.Click Element: appmask['Pane \\'Microsoft  ...  Chrome - Person 1\\'']['Edit \\'Approval type\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 44 OffsetY: 2 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopLeft\n""]",15.0," To access the ISMS document, generate Approval request.",Event_344,Notifications/approvals,Approvals,11.0
13,Recording_68,Process_24,2022-01-08T08:02:11+00:00,Click UI element in window,Text 'Create a title for the approval' in Pane 'Microsoft  ...  Chrome - Person 1',chrome,Microsoft Power Automate | Microsoft Power Platform - Google Chrome - Person 1,"[""UIAutomation.Click Element: appmask['Pane \\'Microsoft  ...  Chrome - Person 1\\'']['Text \\'Create a title for the approval\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 4 OffsetY: 1 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",16.0," To access the ISMS document, generate Approval request.",Event_344,Notifications/approvals,Approvals,10.0
14,Recording_68,Process_24,2022-01-08T08:02:21+00:00,Populate text field in window,Edit 'Title' in Pane 'Microsoft  ...  Chrome - Person 1'; Text:'Permissionn to review ISMS Document',chrome,Microsoft Power Automate | Microsoft Power Platform - Google Chrome - Person 1,"[""UIAutomation.PopulateTextField TextField: appmask['Pane \\'Microsoft  ...  Chrome - Person 1\\'']['Edit \\'Title\\''] Text: 'Permissionn to review ISMS Document' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",17.0," To access the ISMS document, generate Approval request.",Event_344,Notifications/approvals,Approvals,2.0
15,Recording_68,Process_24,2022-01-08T08:02:23+00:00,Click UI element in window,Group in Pane 'Microsoft  ...  Chrome - Person 1',chrome,Microsoft Power Automate | Microsoft Power Platform - Google Chrome - Person 1,"[""UIAutomation.Click Element: appmask['Pane \\'Microsoft  ...  Chrome - Person 1\\'']['Group'] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 11 OffsetY: -5 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",18.0," To access the ISMS document, generate Approval request.",Event_344,Notifications/approvals,Approvals,3.0
16,Recording_68,Process_24,2022-01-08T08:02:26+00:00,Send keys,TextToSend:'{LShiftKey}(K)ru',,,"['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{LShiftKey}(K)ru'\n""]",19.0," To access the ISMS document, generate Approval request.",Event_344,Notifications/approvals,Approvals,11.0
